"Código do Lote","Código da Edificação","Cadastro IPTU","Nome","Descrição","Endereço","Lei-Decreto","Data do Documento","Esfera","COMPHIC","Intimação","Características","Situação","Observações"
"02.0011.0023.0064","02.0011.0023.0064.001.001","5477300",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1923",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"01.0011.0024.0466", - ,4301700-0 (edificação) e 4301800-0 (lote),Imóvel, - ,"Av. Rio Branco, 660",DE nº 123/2023,30/11/2023,Municipal, - , - ,"O Tombamento envolve a totalidade dos remanescentes da edificação, ora em ruinas, assim como seu entorno imediato, em elementos, área e dimensões como relacionados a seguir:

I - dos remanescentes da edificação, restam tombados:

a) volume, feição, materialidade e elementos arquitetonicos remanescentes da Elevação Principal Sul, sito à Rua Venâncio Aires;
b) volume, feição, materialidade e elementos arquitetônicos remanescentes da Elevação Lateral Leste;
c) volume, feição, materialidade e elementos arquitetônicos remanescentes da Elevação Lateral Oeste;
d) volume, feição, materialidade e elementos arquitetônicos remanescentes da Elevação Posterior, à Norte, excluindo-se o anexo em madeira, utilizado como baias para cavalos.

II - do entorno imediato aos remanescentes, tomba-se gleba com as seguintes características, conformações, vizinhança e dimensões: 
a) descrição: Uma fração de área, situado na zona urbana desta cidade, localizado na Rua Venâncio Aires Bairro Passo da Areia, com área total de 27.552,55m² (vinte e sete mil quinhentos e cinquenta e dois metros quadrados e cinquenta e cinco decímetros quadrados), perímetro total de 846,89m, apresentando as seguintes confrontações e medidas: A partir da distância de 20,66m do eixo da Rua Caldas Júnior, no alinhamento da Rua Venâncio Aires a poligonal tem início no vértice 1; deste, formando um ângulo de 92º46`48"" segue na direção norte a distância de 38,78m até o vértice 2; deste, formando um ângulo de 90º44`48"" segue 16,24m até o vértice 3; deste, formando um ângulo de 89º48`21"" segue 95,09m até o vértice 4; deste, formando um ângulo de 183º42` segue 15,14m até o vértice 5; deste, formando um ângulo de 177º06` segue 118,84m até o vértice 6; deste, formando um ângulo de 180º2`54"" segue 15,00m até o vértice 7; deste, formando um ângulo de 180º0`1"" segue 46,23m até o vértice 8; deste, formando um ângulo de 105º10`53"" segue 55,81m até o vértice 9; deste, formando um ângulo de 170º57`17"" segue 4,37m até o vértice 10; deste, formando um ângulo de 85º39`31"" segue 63,02m até o vértice 11; deste, formando um ângulo de 168º48`3"" segue 23,84m até o vértice 12; deste, formando um ângulo de 166º37`55"" segue 87,13m até o vértice 13; deste, formando um ângulo de 174º41`7"" segue 184,40m até o vértice 14; deste, formando um ângulo de 91º36`57"" segue 83,00m até o vértice 1, ponto inicial da descrição deste perímetro."" (ver figura 11).
b) O imóvel descrito tem área procedente da matrícula nº 70.438, Livro nº 2 - Registro Geral - Registro de Imóveis da Comarca de Santa Maria - RS, de propriedade da família Schereschewsky.
Matrícula: 70.438
Área total: 27.552,55 m²
Perímetro: 846,89 m",Tombamento Provisório, - 
"01.0011.0024.0632", - ,"11708800",Imóvel, - ,"Rua Silva Jardim, 1989",DE nº 34/2020,27/02/2020,Municipal,Of. Nº 43/COMPHIC/2020,INTIMAÇÃO Nº 35/COMPHIC/2020,"Tomba-se a volumetria da edificação, preservando sua originalidade estilística, mantendo forma, vãos das aberturas e materiais de acabamento, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação das fachadas.",Tombamento Provisório, - 
"01.0011.0044.0723","01.0011.0044.0723.001.001","4380700",Catedral do Mediador,Prédio do Templo da Catedral do Mediador,"Av. Rio Branco, 880",LM n° 4617/2002,29/10/2002,Municipal, - , - , - ,Patrimônio Histórico, - 
"03.0011.0001.0259", - ,NE.0011.0001.0251.0000 – 100,Chafariz Praça Saldanha Marinho,Coreto e o Chafariz da Praça Saldanha Marinho,Rua Venâncio Aires,LM n° 4583/2002,19/08/2002,Municipal, - , - , - ,Patrimônio Histórico e Cultural, - 
"02.0011.0011.0245","02.0011.0011.0245.001.001","530221470162611","Cooperativa Empregados Viação Férrea - Os bens móveis, imóveis e documentos pertencentes à Cooperativa dos Empregados da Viação Férrea","Os bens móveis, imóveis e documentos pertencentes à Cooperativa dos Empregados da Viação Férrea",Rua Manoel Ribas,Portaria Estadual 30-2000 - LM n° 4506/2002 e DE 161/1997,"09/01/2002",Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"02.0011.0023.0071","02.0011.0023.0071.001.001","5477400",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1935",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"04.0011.0019.0265", - ,"2088000",Imóvel, - ,"Rua Serafim Valandro, 884 - 894 - 896",DE nº 145/2020,16/07/2020,Municipal,Of. nº 114/COMPHIC/2020,INTIMAÇÃO Nº 94/COMPHIC/2020,"Tombamento da sua volumetria, ou seja, o volume da edificação composto por suas fachadas frontais e coberturas. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação, esquadrias e vãos das fachadas.",Tombamento Provisório, - 
"03.0011.0006.0192", - ,"51000",Imóvel, - ,"Rua do Acampamento, 70",DE nº 93/2022 (anterior provisorio DE nº 159/2020),23/09/2022,Municipal,Of. nº 124/COMPHIC/2020,INTIMAÇÃO Nº 104/COMPHIC/2020,"Tombamento, preservando, na integralidade, a originalidade volumétrica e estilística remanescente, no que se incluem a feição da cobertura, os vãos, as esquadrias dos pavimentos superiores e a materialidade e modenatura da fachada principal, sem qualquer supressão ou acréscimo que a altere. ",Tombamento Definitivo, - 
"03.0011.0006.0169", - ,"55900",Imóvel, - ,"Rua do Acampamento, 96",DE nº 161/2020,"05/08/2020",Municipal,Of. nº 126/COMPHIC/2020,INTIMAÇÃO Nº 106/COMPHIC/2020,"Tomba-se o imóvel na integralidade volumétrica e estilística que se apresenta, no que se incluem a feição da cobertura, os vãos, a materialidade e modenatura da fachada principal, no corpo e coroamento, sem qualquer supressão ou acréscimo que a descaracterize ainda mais. ",Tombamento Provisório, - 
"03.0011.0008.0407", - ,"75800",Imóvel, - ,"Rua do Acampamento, 182",DE nº 95/2022 (anterior provisorio DE nº 162/2020),23/09/2022,Municipal,Of. nº 127/COMPHIC/2020,INTIMAÇÃO Nº 107/COMPHIC/2020,"Tomba-se o imóvel na integralidade volumétrica e estilística remanescente, no que se incluem a feição da cobertura e os vãos, a materialidade e modenatura da fachada principal no corpo e coroamento, sem qualquer supressão ou acréscimo que a descaracterize ainda mais. Sugere-se implementar unidade de materiais e coloração, no volume, e padronizar os anúncios publicitários segundo regramento municipal, o que desvelará, ainda mais, a arquitetura, valorizando o imóvel",Tombamento Definitivo, - 
"03.0011.0008.0398", - ,75600 e 75500,Imóvel, - ,"Rua do Acampamento, 192",DE nº 96/2022 (anterior provisorio DE nº 163/2020),23/09/2022,Municipal,Of. nº 128/COMPHIC/2020,INTIMAÇÃO Nº 108/COMPHIC/2020,"Tombamento, preservando, na integralidade, a originalidade volumétrica e estilística remanescente, no que se incluem a feição da cobertura e a materialidade e modenatura da fachada principal, no que se incluem vãos e esquadrias do superior, sem qualquer supressão ou acréscimo.",Tombamento Definitivo, - 
"03.0011.0011.0103", - ,"93300 (DE e GEO), 92400, 92200 (DE e GEO-edificação), 92700, 92800, 92600",Imóvel, - ,"Rua do Acampamento, 225, 227, 229, 231, 235",DE nº 164/2020,"05/08/2020",Municipal,Of. nº 129/COMPHIC/2020,INTIMAÇÃO Nº 109/COMPHIC/2020,"Tombamento, preservando a fachada Leste. A preservação deve considerar a modenatura exterior, seus vãos, a originalidade dos materiais e elementos arquitetônicos ainda presentes, e prezar pelo cuidado com placas publicitárias, antenas, condicionadores de ar e outros elementos amorfos. Novas construções devem ser limitadas para impedir a sua percepção a partir do passeio público, evitando que novos elementos interfiram no preexistente.",Tombamento Provisório, - 
"03.0011.0022.0537", - ,"246200",Imóvel, - ,"Rua do Acampamento, 594",DE nº 165/2020,"05/08/2020",Municipal,Of. nº 134/COMPHIC/2020,INTIMAÇÃO Nº 114/COMPHIC/2020,"Tombamento, preservando a volumetria e a fachada Oeste. A preservação deve considerar a modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, e prezar pelo cuidado com placas publicitárias, antenas, condicionadores de ar e outros elementos amorfos. Deve-se ainda manter a cota máxima do edifício perceptível a partir do passeio público, evitando que novos elementos interfiram no preexistente. ",Tombamento Provisório, - 
"02.0011.0023.0080","02.0011.0023.0080.001.001","5477500",Vila Belga - casa geminada, - ,"Rua Manoel Ribas, 1943",Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M), - ,Estadual/Municipal, - , - , - ,Tombamento Definitivo, - 
"03.0011.0008.0486", - ,76700 (DE e GEO),Imóvel, - ,"Rua Dr. Astrogildo Cezar de Azevedo, 267","DE nº 32/2024
(anterior provisorio DE nº 166/2020)",25/01/2024,Municipal,Of. nº 135/COMPHIC/2020,INTIMAÇÃO Nº 115/COMPHIC/2020,"Tombamento, com preservação integral de sua originalidade volumétrica e estilística, mantendo forma e materiais de cobertura, esquadrias, modenatura da fachada principal e recuo necessário para a contemplação da edificação, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original. ",Tombamento Definitvo, - 
"03.0011.0012.0231", - ,109400-0,Imóvel, - ,"Rua Pinheiro Machado, 2666",DE nº 167/2020,"05/08/2020",Municipal,Of. nº 136/COMPHIC/2020,INTIMAÇÃO Nº 116/COMPHIC/2020,"Tombamento em volumetria, preservando a fachada frontal da edificação, com todos os vãos, modenatura e ornamentação remanescente, no que se inclui, também, as esquadrias em madeira",Tombamento Provisório, - 
"02.0011.0031.0025", - ,"5510400",Imóvel, - ,"Av. Rio Branco, 229",DE nº 169/2020,"05/08/2020",Municipal,Of. nº 138/COMPHIC/2020,INTIMAÇÃO Nº 118/COMPHIC/2020,"Tombamento definitivo da fachada principal composta pelo pavimento superior, platibanda e térreo. As formas que compõem a edificação, a ornamentação da fachada frontal e as esquadrias em madeira são características relevantes que devem ser resguardadas para preservar a edificação, evitando qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original. Além disso, avalia-se necessário manter a volumetria do telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria. ",Tombamento Provisório, - 
"03.0013.0001.3744","03.0013.0001.3744.001.001","10650700",Complexo de Oficinas Edy Santos,Complexo de Oficinas Edy Santos,"Av. Osvaldo Cruz, 900",DE n° 36/2018,20/04/2018,Municipal, - , - ,O Tombamento diz respeito ao conjunto de edificações da antiga oficina de carros de passageiros/ferramentas e quatro vagões de trens.,Tombamento Provisório, - 
"02.0011.0031.0036", - ,"5510500",Imóvel, - ,"Av. Rio Branco, 247","DE nº 36/2024
(anterior provisório DE nº 170/2020)",25/01/2024,Municipal,Of. nº 139/COMPHIC/2020,INTIMAÇÃO Nº 119/COMPHIC/2020,"Tombamento da fachada frontal composta pelo pavimento superior, platibanda e térreo. As formas que compõem a edificação, dentre elas os balcões, a ornamentação e as esquadrias em madeira, são características relevantes que devem ser preservadas para resguardar a identidade arquitetônica do bem. Além disso, avalia-se necessário manter a volumetria da edificação, respeitando a sua altura, ",Tombamento Definitivo, - 
"01.0011.0023.0416", - ,"4294300 (geo-lote), 4294400, 4294500, 4294600,12008800,120087000 e 42947000",Imóvel, - ,"Av. Rio Branco, 560 - 554",DE nº 172/2020,"05/08/2020",Municipal,Of. nº 146/COMPHIC/2020,INTIMAÇÃO Nº 126/COMPHIC/2020,"Tombamento da fachada frontal composta pelos pavimentos superiores, platibanda e térreo. As formas que compõem a edificação, dentre elas as sacadas, a ornamentação da fachada principal e as esquadrias em madeira, são características relevantes que devem ser preservadas para resguardar a identidade arquitetônica do bem. Além disso, avalia-se necessário manter a volumetria da edificação, respeitando a sua altura",Tombamento Provisório, - 
"02.0011.0067.0115", - ,"5778100, 5778200, 5778300",Imóvel, - ,"Av. Rio Branco, 895 - 899",DE nº 180/2020,"05/08/2020",Municipal,Of. nº 154/COMPHIC/2020,INTIMAÇÃO Nº 134/COMPHIC/2020,"Tombamento preservando na integralidade, a originalidade volumétrica, ou seja, o volume da edificação composto por sua fachada frontal e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação, vãos e esquadrias da fachada.",Tombamento Provisório, - 
"03.0011.0012.0319", - ,115200 (lote geo e de)/115300 (de),Imóvel, - ,"Rua do Acampamento, 402",DE nº 183/2020,"05/08/2020",Municipal,Of. nº 157/COMPHIC/2020,INTIMAÇÃO Nº 137/COMPHIC/2020,"Tombamento da sua volumetria, ou seja, o volume da edificação composto por sua fachada frontal e cobertura. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação e vãos das fachadas. ",Tombamento Provisório, - 
"02.0011.0064.0443", - ,"5728900",Imóvel, - ,"Rua dos Andradas, 1560",DE nº 109/2022 (anterior provisório DE nº 185/2020),23/09/2022,Municipal,Of. nº 161/COMPHIC/2020,INTIMAÇÃO Nº 141/COMPHIC/2020,"Tombamento, com preservação integral de sua originalidade volumétrica e estilística, mantendo forma e materiais de cobertura, esquadrias, escadaria, modenatura da fachada frontal e recuo necessário para a contemplação da edificação, sem qualquer supressão ou acréscimo de volume, elemento ou equipamento que afete essa feição original. ",Tombamento Definitivo, - 
"04.0011.0019.0383", - ,"2093600(edifcação, 11389800 (LOTE GEO-DE) e 2093500 (DE-geo edificação)",Imóvel, - ,"Rua Dr. Bozano, 1061, 1065, 1071","DE nº 28/2024
(anterior provisório DE nº 186/2020)",24/01/2024,Municipal,Of. nº 162/COMPHIC/2020,INTIMAÇÃO Nº 142/COMPHIC/2020,"Tombamento, preservando a totalidade volumétrica e a fachada frontal, como se apresentam, em forma, cobertura, vãos, materiais e elementos arquitetônicos e decorativos –, de forma a assegurar sua integridade arquitetônica e composição urbanística na conformação da paisagem ambiental do centro histórico de Santa Maria.",Tombamento Definitvo, - 
"01.0021.0035.0244", - ,"4779300",Imóvel, - ,"Rua Marechal Deodoro, 145",DE nº 101/2022 (anterior provisório DE nº 192/2020),23/09/2022,Municipal,Of. nº 170/COMPHIC/2020,INTIMAÇÃO Nº 150/COMPHIC/2020,"Tomba-se a volumetria da edificação. Avalia-se necessário manter a ornamentação característica, vãos, esquadrias e coberturas, assim como o recuo frontal. O estado de conservação da mesma hoje é adequado, dado o que pode ser percebido a partir do passeio público.",Tombamento Definitivo, - 
"02.0011.0022.0424","02.0011.0022.0424.001.001","5472800",Imóvel, - ,"Rua Manoel Ribas, 1645 (esq. Marechal Floriano Peixoto)",DE n° 168/2019,14/11/2019,Municipal,Of. nº 27/COMPHIC/2020,INTIMAÇÃO Nº 26/COMPHIC/2020,"Tomba-se sua originalidade volumétrica e estilística, mantendo forma e materiais de acabamento e da cobertura, modenatura das fachadas voltadas para as vias e esquadrias em madeira.",Tombamento Provisório, - 
"01.0011.0049.0127","01.0011.0049.0127.001.001","4407300",Imóvel, - ,"Rua Ângelo Uglione, 1542","DE nº 25/2024
(anterior provisório DE nº 127/2020)",24/01/2024,Municipal,Of. nº 93/COMPHIC/2020,INTIMAÇÃO Nº 73/COMPHIC/2020,"Tomba-se a volumetria da edificação, ou seja, o conjunto das dimensões que determinam o volume da edificação composta por suas fachadas e altura da cobertura. A preservação deve acrescer ainda todos os elementos decorativos característicos e vãos de aberturas.",Tombamento Definitivo, - 
"02.0011.0023.0175","02.0011.0023.0175.001.001","5478600","Vila Belga - Clube - Antiga sede da Associação dos Empregados da Viação Férrea, terreno com área de 1735,15 m² e benfeitoria, de NBP n° 6201772-0, com área de 1.485,93 m².","Antiga sede da Associação dos Empregados da Viação Férrea, terreno com área de 1735,15 m² e benfeitoria, de NBP n° 6201772-0, com área de 1.485,93 m².","Rua Manoel Ribas, 2031 e Rua Manoel Ribas, 1213",Lei nº 11.483/2007 Portaria/IPHAN nº 407/2010 (F) Portaria Estadual n° 30/2000 (E) LM n° 2983/1988 e DE n° 161/1997 (M),10/09/2014,Federal/Estadual/Municipal, - , - ,"Dispõe sobre o estabelecimento dos parâmetros de valoração e procedimento de inscrição na Lista do Patrimônio Cultural
Ferroviário, visando à proteção da memória ferroviária, em conformidade com o art. 9º da Lei n.º 11.483/2007. Ver Esfera",Tombamento Definitivo, - 
"04.0011.0019.0137","04.0011.0019.0137.001.001","2072600",Imóvel, - ,"Rua Coronel Niederauer, 1636",DE nº 128/2020,16/07/2020,Municipal,Of. nº 96/COMPHIC/2020,INTIMAÇÃO Nº 76/COMPHIC/2020,"Tombamento com preservação integral de sua originalidade volumétrica e estilística, mantendo a feição da cobertura e a materialidade e modenatura das fachadas principal e laterais, sem qualquer supressão ou acréscimo que altere a configuração remanescente, salvo os gradis do fechamento frontal, acrescidos mais recentemente. ",Tombamento Provisório, - 
"02.0011.0043.0359","02.0011.0043.0359",5610000(DE E GEO) /5609900 (DE),Imóvel, - ,"Rua Daudt, 642-646",DE nº 129/2020,16/07/2020,Municipal,Of. nº 97/COMPHIC/2020,INTIMAÇÃO Nº 77/COMPHIC/2020,"Preservação integral de sua originalidade volumétrica e estilística remanescente, tombando-se a volumetria da edificação e sua fachada frontal – voltada para a rua – em vãos, esquadrias e elementos estilísticos do andar superior, recomendando ser desejável a reconfiguração original da feição do pavimento térreo. ",Tombamento Provisório, - 
"01.0011.0017.0419", - ,"4256200 (DE), 4256100 (DE), 4256000 (DE E GEO)",Imóvel, - ,"Rua André Marques, 458 - 468 - 478",DE nº 158/2020,"05/08/2020",Municipal,Of. nº 123/COMPHIC/2020,INTIMAÇÃO Nº 103/COMPHIC/2020,"Tombamento da sua volumetria, ou seja, o volume da edificação composto por suas fachadas principais e coberturas. A preservação deve acrescer ainda todos os elementos remanescentes de ornamentação, vãos e esquadrias das fachadas.",Tombamento Provisório, - 
"02.0011.0044.0178","02.0011.0044.0178.001.001","5614200 (DE), 5614100 (DE), 5614300 (GEO)",Imóvel, - ,"Rua Daudt, 722-736",DE nº 110/2022 (anterior provisório DE nº 130/2020),23/09/2022,Municipal,Of. nº 98/COMPHIC/2020,INTIMAÇÃO Nº 78/COMPHIC/2020,"Preservação integral de sua originalidade volumétrica e estilística, tombando-se a volumetria da edificação e sua fachada frontal – voltada para a rua – em vãos e elementos estilísticos remanescentes na integralidade, recomendando desejável a reconfiguração original das esquadrias e a liberação dos toldos afixados.",Tombamento Definitivo, - 
"03.0011.0011.0124", - ,"95000",Imóvel, - ,"Rua do Acampamento, 255",DE nº 112/2022 (anterior provisório DE nº 131/2020),23/09/2022,Municipal,Of. nº 102/COMPHIC/2020,INTIMAÇÃO Nº 82/COMPHIC/2020,"Tombamento da fachada frontal. As formas que compõem a edificação, incluindo a sacada, cobertura, letreiro com a identificação do uso do edifício e vãos de aberturas, são características relevantes que devem ser preservadas para resguardar as características que definem a edificação. Além disso, avalia-se necessário manter a volumetria do telhado, pois sua escala compõe, junto com os outros prédios desta testada do quarteirão, um conjunto de grande valor para a paisagem urbana de Santa Maria.",Tombamento Definitivo, - 
"03.0011.0011.0055", - ,"91000, 911000, 912000 e 19337226350",Imóvel, - ,"Rua do Acampamento, 181",DE nº 133/2020,16/07/2020,Municipal,Of. nº 101/COMPHIC/2020,INTIMAÇÃO Nº 81/COMPHIC/2020,"Tombamento, preservando a fachada Leste. A preservação deve considerar a modenatura exterior, com a originalidade dos materiais e elementos arquitetônicos ainda presentes, e prezar pelo cuidado com placas publicitárias, antenas, condicionadores de ar e outros elementos amorfos. Deve-se ainda manter a cota máxima do edifício perceptível a partir do passeio público, evitando que novos elementos interfiram no preexistente. ",Tombamento Provisório, - 
"03.0011.0008.0313", - ,"73400 (DE e GEO), 73500 (DE),73600(DE)",Imóvel, - ,"Rua do Acampamento, 280",DE nº 134/2020,16/07/2020,Municipal,Of. nº 103/COMPHIC/2020,INTIMAÇÃO Nº 83/COMPHIC/2020,"Tombamento, preservando, na integralidade, a originalidade volumétrica e estilística, no que se incluem com a feição da cobertura e a materialidade e modenatura da fachada frontal, sem qualquer supressão ou acréscimo que altere a configuração remanescente, salvo a liberação dos gradis, acrescidos, recentemente, nos vãos superiores. ",Tombamento Provisório, - 
