"Nome","Ato de Criação","Data de Criação","Link","ResumoBreve"
"Reserva de Desenvolvimento Sustentável Pucuruí-Ararão","Lei Estadual Nº 6.451",08/04/02,"https://ideflorbio.pa.gov.br/reserva-de-desenvolvimento-sustentavel-pucurui-ararao/","Reserva de Desenvolvimento Sustentável Pucuruí-Ararão (RDS Pucuruí-Ararão): Unidade de Conservação de Uso Sustentável nos municípios de Novo Repartimento e Tucuruí, com extensão territorial de 29.049,00 hectares, dos quais apenas 13% correspondem à porção terrestre da UC. Foi delimitada a partir de áreas do Lago de Tucuruí que abrigavam ilhas tradicionalmente habitadas. Como toda Reserva de Desenvolvimento Sustentável, busca viabilizar a exploração sustentável de recursos naturais, associada à manutenção dos modos de vida de sua população residente."
"Estação Ecológica do Grão-Pará (ESEC)","Decreto Nº 2.609",04/12/06,"https://ideflorbio.pa.gov.br/estacao-ecologica-do-grao-para/","Estação Ecológica do Grão-Pará (ESEC Grão-Pará): Criada em 2006 (Decreto Estadual 2.609/2006), é a maior Unidade de Conservação de Proteção Integral de florestas tropicais do planeta, com mais de 4,2 milhões de hectares (4.245.819,11 ha ou 42.458,19 km²). Localizada na margem esquerda do Rio Amazonas (Calha Norte Paraense), abrange os municípios de Oriximiná, Óbidos, Alenquer e Monte Alegre. Seus objetivos incluem a preservação da natureza e a realização de pesquisas científicas, a manutenção de serviços ambientais e recargas de aquíferos, e o desenvolvimento de atividades de educação ambiental. A visitação pública para lazer ou turismo é proibida, exceto para fins educacionais ou pesquisas científicas com autorização. O acesso é considerado difícil, possível por pequenos aviões, helicópteros ou com apoio de indígenas. A ESEC do Grão-Pará está inserida no bioma Amazônia e no Centro de Endemismo Guiana."
"Reserva Biológica do Maicuru (REBIO)","Decreto Estadual Nº 2610",04/12/06,"https://ideflorbio.pa.gov.br/estacao-ecologica-do-grao-para/","Reserva Biológica do Maicuru (REBIO): Esta unidade não é detalhadamente resumida na fonte ""Unidades de Conservação do Pará: Um Panorama Abrangente"". No entanto, outras fontes mencionam a REBIO Maicuru em associação com a ESEC Grão-Pará, especificamente em relação a reuniões do Conselho Gestor."
"Flota Estadual de Faro","Decreto Estadual nº 2.605",04/12/06,"https://ideflorbio.pa.gov.br/flota-estadual-de-faro/","Floresta Estadual de Faro (FLOTA Faro): Unidade de Conservação de Uso Sustentável criada em 2006 (Decreto Estadual nº 2.605, de 04/12/2006, com alterações), com mais de 613 mil hectares (613.867,67 hectares). Localizada na Calha Norte do rio Amazonas, abrange os municípios de Faro e Oriximiná. Sua missão é conservar a biodiversidade e permitir o uso sustentável dos recursos, conciliando a exploração florestal (madeireira e não madeireira) e serviços ambientais com a diversidade socioeconômica e cultural local. Por estar em uma região bem conservada do bioma Amazônia, possui características únicas para o turismo de natureza e contemplação da beleza cênica local, oferecendo oportunidades para birdwatching, trilhas (Cumaru com 5km, Monte Cião com 2,5km), e acesso a praias, cachoeiras e rios no período do verão amazônico (maio a dezembro). A pesca esportiva é uma atividade em ascensão, especialmente no período de agosto a dezembro. A visitação requer autorização prévia do órgão gestor. Atualmente, a Flota não possui infraestrutura de suporte a visitantes no local, apenas a base de apoio do Ideflor-Bio."
"Floresta Estadual do Paru","Decreto Estadual nº 2.608",04/12/06,"https://ideflorbio.pa.gov.br/floresta-estadual-do-paru/","Floresta Estadual do Paru (FLOTA Paru): Unidade de Conservação de Uso Sustentável criada em 2006 (Decreto nº 2.608 de 04/12/2006), administrada pelo Ideflor-Bio. Possui uma área de 3.612.914 hectares (36.129,14 Km²), localizada no oeste do Estado do Pará, na Calha Norte do rio Amazonas, abrangendo os municípios de Almeirim, Monte Alegre, Alenquer e Óbidos. Cerca de 96% de sua área é coberta por florestas bem conservadas. O objetivo é garantir a conservação da biodiversidade, ecossistemas e ambientes naturais, aliada ao uso sustentável de seus recursos naturais, visando gerar renda e melhorar a qualidade de vida da população local. A Flota Paru é um modelo de desenvolvimento socioeconômico e ambiental, aliando conservação e uso sustentável para garantir a autossustentabilidade financeira. Oferece ecoturismo, com atividades como banho em cachoeiras (Panamá, Bacuri, Santo Antônio - 50m de queda), passeios nas corredeiras do rio Paru (melhor período de janeiro a junho), trilhas ecológicas, birdwatching e contemplação de árvores gigantes e castanhais. A visitação é mediante solicitação de autorização do órgão gestor. Parte desta FLOTA foi requalificada em 2024 para criar o Parque Estadual Ambiental das Árvores Gigantes da Amazônia (PAGAM)."
"Floresta Estadual do Trombetas","Decreto Estadual nº 2.607",04/12/06,"https://ideflorbio.pa.gov.br/floresta-estadual-do-trombetas/","Floresta Estadual do Trombetas (FLOTA Trombetas): Unidade de Conservação de Uso Sustentável criada em 2006 (Decreto Estadual nº 2.605, de 04/12/2006), administrada pelo Ideflor-Bio. Ocupa 3.172.978 hectares (31.729,78 Km²) de floresta nativa conservada no oeste do Pará, na margem esquerda da Calha Norte do rio Amazonas, abrangendo os municípios de Oriximiná, Óbidos e Alenquer. Seu objetivo é conservar e manejar os recursos florestais e ambientais de modo sustentável, garantindo os meios de vida e o respeito às populações tradicionais e à diversidade cultural. Possui alta riqueza de biodiversidade e beleza cênica, com grande potencial para pesquisa científica e turismo de natureza, oferecendo trilhas e cachoeiras. A visitação é possível o ano todo, mas recomenda-se o período de estiagem (maio a dezembro) devido às condições das estradas. A visita requer autorização prévia do órgão gestor. A entrada é franca."
"Área de Proteção Ambiental Triunfo do Xingu","Decreto Nº 2.612",04/12/06,"https://ideflorbio.pa.gov.br/area-de-protecao-ambiental-triunfo-do-xingu/","Área de Proteção Ambiental Triunfo do Xingu (APA Triunfo do Xingu): É uma das maiores unidades de conservação do Brasil e de Uso Sustentável, criada em 2006. Possui uma área superior a 1,7 milhão de hectares, abrangendo parte dos municípios de São Félix do Xingu e Altamira. Seu principal objetivo é promover a conservação dos recursos naturais, conciliando a proteção ambiental com o desenvolvimento sustentável das comunidades locais. A APA abriga uma rica biodiversidade da Amazônia, incluindo espécies ameaçadas de extinção, e atua como corredor ecológico entre outras áreas protegidas. O Plano de Gestão, aprovado em 2024, define o zoneamento, usos permitidos e diretrizes de conservação. A gestão busca fortalecer a presença do Estado, apoiar atividades produtivas sustentáveis, promover a regularização fundiária e fomentar a educação ambiental."
"Floresta Estadual do Iriri","Decreto Estadual nº 2.606",04/12/06,"https://ideflorbio.pa.gov.br/floresta-estadual-do-iriri/","Floresta Estadual do Iriri (FLOTA Iriri): Uma Unidade de Conservação de Uso Sustentável criada em 2006 (Decreto Estadual nº 2.606, de 20 de março de 2006). Possui uma área aproximada de 440.493 hectares e está localizada na região centro-sul do estado do Pará, abrangendo os municípios de Altamira e São Félix do Xingu. Faz parte do Mosaico de Áreas Protegidas da Terra do Meio. O objetivo é promover o uso sustentável dos recursos naturais, conciliando a conservação da biodiversidade com o desenvolvimento econômico e social das comunidades locais. A FLOTA Iriri é uma área pública sob gestão do IDEFLOR-Bio e permite o uso direto dos recursos naturais, desde que manejados de forma sustentável. Está situada em uma zona de transição ecológica entre os rios Iriri e Xingu, abrigando florestas de terra firme, igarapés e diversos ecossistemas amazônicos, protegendo espécies ameaçadas como a onça-pintada, o macaco-aranha-de-cara-branca e a arara-azul-grande."
"Refúgio de Vida Silvestre Metrópole da Amazônia (REVIS)","Decreto nº 2.211",30/03/10,"https://ideflorbio.pa.gov.br/refugio-de-vida-silvestre-metropol-da-amazonia/","Refúgio de Vida Silvestre (REVIS) Metrópole da Amazônia: Unidade de Conservação de Proteção Integral, criada em 2010 (Decreto nº. 2.211 de 30/03/2010), com área de 6.367,27 hectares (63,67 km²). Localiza-se na Região Metropolitana de Belém (RMB), abrangendo partes dos municípios de Ananindeua, Benevides, Marituba e Santa Isabel do Pará. Seu principal objetivo é proteger ambientes naturais para assegurar condições para a existência ou reprodução de espécies ou comunidades da flora e da fauna residente ou migratória. Contribui para a manutenção de serviços ambientais e a conservação de florestas primárias remanescentes da RMB. A visitação é permitida para turismo ecológico, pesquisas científicas e atividades de educação ambiental, mediante autorização prévia (com 10 dias de antecedência). A entrada é gratuita. A unidade oferece atrativos naturais como o Lago da Onça, Igarapé do Dique, e diversas trilhas (Seringueira, Samambaia, Quati, Circuito da Pirelli), além de atrativos históricos e culturais como ruínas de engenhos e da antiga Fábrica Pirelli, e comunidades tradicionais. O melhor período para visitação é no verão amazônico para evitar os perigos das trilhas em períodos chuvosos."
"Parque Estadual Charapucu","Decreto Estadual nº 2.592",09/11/10,"https://ideflorbio.pa.gov.br/parque-estadual-charapucu/","Parque Estadual Charapucu (PEC Charapucu): Unidade de Proteção Integral criada em 2010 (Decreto Estadual nº. 2.592), com uma área de 65.181,94 hectares (651,8194 Km²), localizada no município de Afuá, no Arquipélago do Marajó. O objetivo básico é preservar ecossistemas naturais de grande relevância ecológica e beleza cênica, possibilitando pesquisas científicas, educação e interpretação ambiental, recreação em contato com a natureza e turismo ecológico. O parque protege o bioma Amazônico, com vegetação de Floresta Ombrófila Densa Aluvial, Floresta Ombrófila Densa de Terras Baixas e Campos, e abriga espécies ameaçadas de extinção como a ucuúba vermelha. A fauna inclui onça pintada, peixe-boi, urubu rei e macaco caiarara. Atualmente, não possui infraestrutura turística específica, mas apresenta grande potencial para turismo ecológico de base comunitária e pesquisas científicas."
"Parque Estadual Ambiental das Árvores Gigantes da Amazônia (PAGAM)","Decreto Estadual nº 2.592",09/11/10,"https://ideflorbio.pa.gov.br/para-anuncia-nova-area-de-preservacao-para-arvores-gigantes-em-festival-que-estimula-acao-climatica-e-combate-a-pobreza/","Parque Estadual Ambiental das Árvores Gigantes da Amazônia (PAGAM): É uma nova Unidade de Conservação de Proteção Integral de 560 mil hectares, localizada no município de Almeirim. Foi criada em 2024 a partir da requalificação de parte da Floresta Estadual (Flota) Paru. O principal objetivo é a preservação das Árvores Gigantes da Amazônia e outros ecossistemas naturais de grande relevância ecológica e beleza cênica. A criação do PAGAM visa impulsionar o ecoturismo, gerar novas oportunidades para empreendimentos locais (agências de turismo, hotéis, pousadas, restaurantes), e beneficiar instituições de ensino e pesquisa, além de possibilitar a realização de pesquisas científicas e o desenvolvimento de atividades de educação e interpretação ambiental. A gestão será feita pelo Ideflor-Bio, com o apoio de um Conselho Gestor."
"Parque Estadual do Utinga “Camillo Vianna”","Decreto Nº 265",30/11/11,"https://ideflorbio.pa.gov.br/parque-estadual-do-utinga/","Parque Estadual do Utinga “Camillo Vianna”: Localizado em Belém, é uma Unidade de Conservação de Proteção Integral com uma área de 1,3 mil hectares, gerenciada pelo Ideflor-Bio e pela OS Pará 2000. É considerado um dos principais ""pulmões verdes"" da capital paraense, abrigando uma impressionante diversidade de fauna e flora do bioma amazônico. Oferece diversas atividades para lazer e contato com a natureza, incluindo trilhas ecológicas, passeios de bicicleta, esportes radicais e observação de aves. O parque promove a educação e conscientização ambiental, com guias e infraestrutura para uma visita segura e educativa. Em julho, o parque opera diariamente das 6h às 17h, um período de alta demanda para lazer durante as férias escolares. É importante que os visitantes sigam as regras da UC, como o respeito à fauna e flora e o descarte correto de resíduos."
"Refúgio de Vida Silvestre Padre Sérgio Tonetto","Decreto Nº 1.567",17/06/16,"https://ideflorbio.pa.gov.br/refugio-de-vida-silvestre-padre-sergio-tonetto/","Refúgio de Vida Silvestre Padre Sérgio Tonetto (REVIS Padre Sérgio Tonetto): É a primeira Unidade de Conservação Estadual de proteção integral no Pará, criada em 2016 (Decreto Nº 1.567, de 17 de junho de 2016). Seu objetivo principal é a preservação da flora do ecossistema de campos cerrados, uma ocorrência natural rara no estado, e a reprodução de espécies ou comunidades da flora e fauna local ou migratória."
"Refúgio de Vida Silvestre Tabuleiro do Embaubal (REVIS)","Decreto Estadual nº 1.566",17/06/16,"https://ideflorbio.pa.gov.br/refugio-de-vida-silvestre-tabuleiro-do-embaubal/","Refúgio de Vida Silvestre Tabuleiro do Embaubal (REVIS Tabuleiro do Embaubal): Unidade de Conservação Estadual de Proteção Integral criada em 2016 (Decreto Estadual nº 1.566 de 17 de junho de 2016), situada no município de Senador José Porfírio, no Pará, com uma área aproximada de 4.033,94 hectares. Seu objetivo principal é preservar os ecossistemas naturais e garantir a proteção da fauna e flora nativas, mantendo a integridade dos processos ecológicos da região. É especialmente conhecida como a maior área de desova da tartaruga-da-Amazônia (Podocnemis expansa), além de ser um ponto de desova para o Pitiú (Podocnemis sextuberculata) e o Tracajá (Podocnemis unifilis). A unidade também abriga diversas espécies aquáticas como o boto-vermelho e o peixe-boi amazônico, e é um importante ponto para aves migratórias. Sendo uma unidade de proteção integral, não permite o uso direto dos recursos naturais, focando em pesquisa científica, educação ambiental e visitação pública controlada."
"Reserva de Desenvolvimento Sustentável Vitória de Souzel","Decreto Estadual Nº 1.566",17/06/16,"https://ideflorbio.pa.gov.br/reserva-de-desenvolvimento-sustentavel-vitoria-de-souzel/","Reserva de Desenvolvimento Sustentável Vitória de Souzel (RDS Vitória do Souzel): Unidade de Conservação Estadual de Uso Sustentável criada em 2016 (Decreto Estadual nº 1.566, de 17 de junho de 2016). Localizada no município de Senador José Porfírio, na região do rio Xingu, abrange uma área de aproximadamente 22.957 hectares. Seu objetivo é proteger os recursos ambientais e socioculturais da região, promovendo o desenvolvimento sustentável das comunidades tradicionais que habitam o território. A unidade é caracterizada por rica biodiversidade, com florestas de terra firme, áreas alagáveis e cursos dágua. Desempenha um papel fundamental na conservação dos ecossistemas locais e na proteção de nascentes. A gestão busca conciliar a proteção ambiental com a promoção de alternativas sustentáveis de geração de renda, educação ambiental e fortalecimento dos saberes tradicionais. A RDS Vitória do Souzel representa um modelo de gestão integrada e participativa."
"Reserva de Desenvolvimento Sustentável Campo das Mangabas","Decreto Nº 1.567",17/06/16,"https://ideflorbio.pa.gov.br/reserva-de-desenvolvimento-sustentavel-campo-das-mangabas/","Reserva de Desenvolvimento Sustentável Campo das Mangabas (RDS Campo das Mangabas): Unidade de Conservação Estadual de Uso Sustentável, instituída em 2016 (Decreto Nº 1.567, de 17 de junho de 2016), localizada no município de Maracanã/PA. Protege uma região com características de Cerrado com predominância de espécies como a mangaba, o muruci e o bacuri. A coleta desses frutos é realizada pelas comunidades locais para consumo próprio ou venda, principalmente nos meses de safra (outubro/dezembro para mangaba, janeiro/março para bacuri). No mês de dezembro, ocorre a celebração denominada ""festa do Bacuri"". O processo de criação desta UC iniciou em 2007, por solicitação de associações locais para evitar ações predatórias e ocupação desordenada. Limita-se ao Norte, Leste e Oeste com a Reserva Extrativista de Maracanã (administração do ICMBio) e ao sul com parte da PA-430."
"Monumento Natural Atalaia (MONA)","Decreto Estadual nº 2.077",23/05/18,"https://ideflorbio.pa.gov.br/monumento-natural-atalaia-mona/","Monumento Natural Atalaia (MONA Atalaia): Unidade de Proteção Integral criada em 2018 (Decreto Estadual Nº 2.077, de maio de 2018), com uma área de 256,58 hectares. Está destinada ao desenvolvimento de estudos e pesquisas científicas, ecoturismo, recreação e lazer, educação ambiental e a conservação da natureza. O espaço não permite moradia nem exploração dos recursos naturais. O MONA Atalaia é formado pelo lago da Coca-Cola e lagos de recarga no entorno, dunas fixas e móveis, e vegetação de restingas, manguezais e pequenos igarapés. Seus objetivos incluem garantir a proteção das belezas cênicas, dunas, restingas, manguezais e lagos, a preservação de espécies da flora e fauna (residentes e migratórias), proteger amostras representativas de ecossistemas costeiros, ordenar o turismo e oportunizar a educação ambiental."
"Refúgio de Vida Silvestre Rios São Benedito e Azul  (REVIS)","Decreto Nº 1.944",21/10/21,"https://ideflorbio.pa.gov.br/refugio-de-vida-silvestre-rios-sao-benedito-e-azul-dgbio/","Refúgio de Vida Silvestre Rios São Benedito e Azul (REVIS Rios São Benedito e Azul): Unidade de Conservação de Proteção Integral, criada em 2021 (Decreto Nº 1.944, de 21 de outubro de 2021), com uma área de 30.032,00 hectares. Localiza-se nos municípios de Jacareacanga e Novo Progresso, na Região de Integração Tapajós. Seu objetivo é proteger ambientes naturais para a existência e reprodução de espécies da flora e fauna local ou migratória, além de atuar como uma barreira ecológica de aproximadamente 200 km de extensão no sentido Leste-Oeste, impedindo o avanço do desmatamento vindo do estado do Mato Grosso. Possui potencial para ecoturismo, passeios e pesca esportiva, estudos, pesquisas, interpretação e educação ambiental. A unidade abrange o bioma Amazônico em transição para o Cerrado, com ecossistemas de águas claras, lagoas, igapós, matas ciliares, cerrados e florestas ombrófilas."
